,,SCOTSTOUN,,,,,,
,,COMMUNITY CENTRE,,,,,,
AN2613,ANWE1310,SCOTSTOUN,No change,,,,,
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
AN2713,ANWE1311,KINGSWAY,No change,,,,,
,,COMMUNITY,,,,,,
,,CONNECTIONS,,,,,,
AN2813,ANWE1312,HEART OF,No change,,,,,
,,SCOTSTOUN,,,,,,
,,COMMUNITY CENTRE,,,,,,
EXISTING,POLLING,PROPOSED,CURRENT POLLING,PROPOSED,DISTANCE,REASON FOR,PROPOSED CHANGE TO,
POLLING,DISTRICT,POLLING,PLACE,CHANGE TO,MILES,PROPOSED CHANGE TO,POLLING PLACE,
DISTRICT,MERGE,DISTRICT,,POLLING PLACE,,VENUE,,
,WITH,NAME,,,,,,
,,,,,,,,
AN0114,,ANWE1401,ANTONINE PRIMARY,No change,,,No change,
,,,SCHOOL,,,,,
AN0214,,ANWE1402,PHOENIX,No change,,,No change,
,,,NEIGHBOURHOOD,,,,,
,,,CENTRE,,,,,
AN0314,,ANWE1403,LANGFAULDS PRIMARY,No change,,,No change,
,,,SCHOOL,,,,,
,,,,,,,,
AN0414,,ANWE1404,CAMSTRADDEN,No change,,,No change,
,,,PRIMARY SCHOOL,,,,,
,,,,,,,,
AN0514,,ANWE1405,CAMSTRADDEN,No change,,,No change,
,,,PRIMARY SCHOOL,,,,,
,,,,,,,,
AN0614,,ANWE1406,CLOAN NURSERY,CAMSTRADDEN,1 MILE,To not use early years or,No change,
,,,,PRIMARY,,ASL Education,,
,,,,SCHOOL,,establishments.,,
,,,,,,Camstradden PS is an,,
,,,,,,existing polling place.,,
AN0714,,ANWE1407,BLAIRDARDIE PRIMARY,No change,,,No change,
,,,SCHOOL,,,,,
,,,,,,,,
AN0814,,ANWE1408,ST MARGARETS,No change,,,No change,
,,,PARISH CHURCH HALL,,,,,
,,,,,,,,
AN0914,,ANWE1409,KNIGHTSCLIFFE,No change,,,No change,
,,,COMMUNITY HALL,,,,,
,,,,,,,,
AN1014,,ANWE1410,BLAIRDARDIE PRIMARY,No change,,,No change,
,,,SCHOOL,,,,,
,,,,,,,,
AN1114,,ANWE1411,KNIGHTSWOOD,No change,,,No change,
,,,PRIMARY SCHOOL,,,,,
,,,,,,,,
AN1214,,ANWE1412,KNIGHTSWOOD,No change,,,No change,
,,,PRIMARY SCHOOL,,,,,
,,,,,,,,
AN1314,AN1414,,,,,,No change,
,,,,,,,,
AN1414,AN1314,ANWE1413,TEMPLE-ANNIESLAND,No change,,,No change,
,,,CHURCH HALL,,,,,
,,,,,,,,
EXISTING,PROPOSED,CURRENT,PROPOSED,DISTANCE,REASON FOR PROPOSED CHANGE,PROPOSED CHANGE TO,,
POLLING,NEW,POLLING PLACE,CHANGE TO,MILES,TO VENUE,POLLING PLACE,,
DISTRICT,POLLING,,POLLING,,,,,
,DISTRICT,,PLACE,,,,,
,NAME,,,,,,,
KE1215,KMNO1501,KELBOURNE PARK,NORTH,0.3M,To not use early years or ASL Education,NORTH KELVINSIDE PS,,
,,SCHOOL,KELVINSIDE,,establishments.,,,
,,,PS,,North Kelvinside PS is not an existing,,,
,,,,,polling place.,,,
MS1515,KMNO1502,ST MARY'S,No change,,,No change,,
,,(MARYHILL),,,,,,
,,PRIMARY SCHOOL,,,,,,
MS1715,KMNO1503,ST MARY'S,No change,,,No change,,
,,(MARYHILL),,,,,,
,,PRIMARY SCHOOL,,,,,,
MS1815,KMNO1504,ST MARY'S,No change,,,No change,,
,,(MARYHILL),,,,,,
,,PRIMARY SCHOOL,,,,,,
MS1915,KMNO1505,ST BLANE'S,No change,,,No change,,
,,PRIMARY SCHOOL,,,,,,
MS2115,KMNO1506,ACRE RESIDENTS,No change,,,No change,,
,,COMMUNITY HALL,,,,,,
,,,,,,,,
MS2315,KMNO1507,LANGA STREET,CADDER,0.1M,To not use early years or ASL Education,CADDER PRIMARY SCHOOL,,
,,NURSERY,PRIMARY,,establishments.,,,
