OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,BUILDING_EMISSIONS,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,APPROXIMATE_ENERGY_USE,LOCAL_AUTHORITY,CONSTITUENCY,TARGET_EMISSIONS
,1 Central Quay,,Glasgow,G3 8DA,22.08,Grid supplied,Natural Gas,142,00QS,00QSMK,2.32
9.067E+11,32 FINNIESTON SQUARE,,GLASGOW,G3 8DY,55.36,Grid supplied,Natural Gas,224,00QS,00QSMK,14.89
9.067E+11,44 Elliot street,,Glasgow,G3 8DZ,39.5,Grid supplied,Natural Gas,90,00QS,00QSMK,15.18
9.067E+11,60 Elliot Street,,Glasgow,G3 8DZ,46.13,Grid supplied,Natural Gas,137,00QS,00QSMK,16.5
9.067E+11,40 Elliot Street,,Glasgow,G3 8DZ,56.67,Grid supplied,Natural Gas,169,00QS,00QSMK,20.67
,1st and 2nd Floor,69 Houldsworth Street,Glasgow,G3 8ED,30.55,Grid supplied,Natural Gas,76,00QS,00QSMK,9.22
9.067E+11,SUITE 3/2,14 ELLIOT PLACE,GLASGOW,G3 8EP,80.67,Grid supplied,Natural Gas,215,00QS,00QSMK,24.79
,Nursery Skypark SP1,10 Elliot Place,Glasgow,G3 8EP,30.37,Grid supplied,Natural Gas,86,00QS,00QSMK,11.64
,Skyhub Skypark 1,8 Elliot Place,Glasgow,G3 8EP,29.96,Grid supplied,Natural Gas,73,00QS,00QSMK,15.8
,Suite 6/5A Skypark SP1,Cornwall Street,Glasgow,G3 8EP,63.81,Grid supplied,Natural Gas,139,00QS,00QSMK,21.83
,8a Elliot Place,Skypark SP1,Glasgow,G3 8EP,42.65,Grid supplied,Natural Gas,99,00QS,00QSMK,16.29
,Suite 5/1 to 5/6 Skypark 1,8 Elliot Place,Glasgow,G3 8EP,51.89,Grid supplied,Natural Gas,115,00QS,00QSMK,17.57
9.06701E+11,18 ELLIOT PLACE,,GLASGOW,G3 8EP,45.45,Grid supplied,Natural Gas,179,00QS,00QSMK,20.85
